order_id,delivery_days,shipping_cost_ngn,warehouse_region
ORD-10236,1,2324.44,Lagos Hub
ORD-10237,6,1290.39,Lagos Hub
ORD-10238,10,2818.13,Lagos Hub
ORD-10239,4,1980.98,Lagos Hub
ORD-10240,3,1552.71,Lagos Hub
ORD-10241,7,538.25,Lagos Hub
ORD-10242,14,1140.54,Abuja Hub
ORD-10243,8,3128.36,Lagos Hub
ORD-10244,10,1389.41,Lagos Hub
ORD-10245,5,3409.48,Abuja Hub
ORD-10246,8,2068.06,Lagos Hub
ORD-10247,8,536.19,Lagos Hub
ORD-10248,4,3477.77,Lagos Hub
ORD-10249,3,3284.18,Lagos Hub
ORD-10250,1,2105.44,PH Hub
ORD-10251,2,3104.14,Lagos Hub
ORD-10252,1,2213.81,Lagos Hub
ORD-10253,1,2309.12,Lagos Hub
ORD-10254,3,1417.66,PH Hub
ORD-10255,10,792.86,Lagos Hub
ORD-10256,3,1719.66,Abuja Hub
ORD-10257,3,2747.85,Lagos Hub
ORD-10258,1,1922.23,Lagos Hub
ORD-10259,3,1056.36,Lagos Hub
ORD-10260,3,3155.77,Lagos Hub
ORD-10261,8,2346.98,Lagos Hub
ORD-10262,5,2760.82,Lagos Hub
ORD-10263,4,2420.87,Lagos Hub
ORD-10264,4,1431.98,Lagos Hub
ORD-10265,7,1477.48,Abuja Hub
ORD-10266,4,2197.94,Lagos Hub
ORD-10267,7,2855.47,Abuja Hub
ORD-10268,2,984.51,Abuja Hub
ORD-10269,3,1207.83,Lagos Hub
ORD-10270,4,1766.23,Lagos Hub
ORD-10271,4,2916.02,Abuja Hub
ORD-10272,8,989.12,Lagos Hub
ORD-10273,5,1393.6,PH Hub
ORD-10274,2,1892.47,Abuja Hub
ORD-10275,3,624.42,Lagos Hub
ORD-10276,4,1312.0,Lagos Hub
ORD-10277,6,657.61,Lagos Hub
ORD-10278,3,774.38,Lagos Hub
ORD-10279,10,3425.13,Abuja Hub
ORD-10280,2,836.83,Lagos Hub
ORD-10281,1,589.23,Lagos Hub
ORD-10282,2,1330.91,Abuja Hub
ORD-10283,8,1440.33,Lagos Hub
ORD-10284,2,1731.73,Lagos Hub
ORD-10285,2,1881.45,Lagos Hub
ORD-10286,2,2761.44,Abuja Hub
ORD-10287,6,3092.3,Lagos Hub
ORD-10288,1,1385.05,PH Hub
ORD-10289,4,1662.2,Lagos Hub
ORD-10290,5,2186.92,Lagos Hub
ORD-10291,5,2558.74,Abuja Hub
ORD-10292,3,1415.32,Lagos Hub
ORD-10293,8,2810.62,Lagos Hub
ORD-10294,2,1910.7,Lagos Hub
ORD-10295,6,3435.61,Lagos Hub
ORD-10296,3,624.28,Lagos Hub
ORD-10297,6,2750.98,PH Hub
ORD-10298,3,2344.34,Lagos Hub
ORD-10299,8,2350.59,Abuja Hub
ORD-10300,1,1810.79,Lagos Hub
ORD-10301,3,883.09,Lagos Hub
ORD-10302,6,603.63,Abuja Hub
ORD-10303,6,3467.15,Lagos Hub
ORD-10304,1,1739.94,Lagos Hub
ORD-10305,3,3256.89,Lagos Hub
ORD-10306,3,1501.3,Lagos Hub
ORD-10307,4,3212.57,PH Hub
ORD-10308,6,691.2,Lagos Hub
ORD-10309,2,1488.01,Abuja Hub
ORD-10310,3,1228.21,Abuja Hub
ORD-10311,2,1705.44,Abuja Hub
ORD-10312,2,1270.71,Abuja Hub
ORD-10313,7,893.44,Lagos Hub
ORD-10314,3,1535.8,Lagos Hub
ORD-10315,6,879.89,Lagos Hub
ORD-10316,2,1533.98,Lagos Hub
ORD-10317,1,2754.37,Lagos Hub
ORD-10318,2,3297.31,Lagos Hub
ORD-10319,4,2526.68,Lagos Hub
ORD-10320,3,2394.35,Lagos Hub
ORD-10321,1,2666.02,Abuja Hub
ORD-10322,5,2987.15,Lagos Hub
ORD-10323,3,3267.5,Lagos Hub
ORD-10324,2,574.49,Lagos Hub
ORD-10325,1,534.45,Lagos Hub
ORD-10326,4,3044.7,Abuja Hub
ORD-10327,2,2512.03,Abuja Hub
ORD-10328,4,1530.37,PH Hub
ORD-10329,3,681.24,PH Hub
ORD-10330,7,2598.66,Abuja Hub
ORD-10331,7,1583.22,Lagos Hub
ORD-10332,1,1366.49,Abuja Hub
ORD-10333,5,3407.89,Abuja Hub
ORD-10334,3,1620.23,Lagos Hub
ORD-10335,2,2279.09,Lagos Hub
ORD-10336,3,2320.52,Lagos Hub
ORD-10337,4,819.78,Lagos Hub
ORD-10338,2,2566.73,Lagos Hub
ORD-10339,2,3143.73,Lagos Hub
ORD-10340,7,3352.53,Lagos Hub
ORD-10341,4,2586.93,Lagos Hub
ORD-10342,2,3249.66,Lagos Hub
ORD-10343,4,3253.13,Abuja Hub
ORD-10344,3,2427.09,Lagos Hub
ORD-10345,3,3373.4,Abuja Hub
ORD-10346,5,548.97,Abuja Hub
ORD-10347,3,1311.42,Abuja Hub
ORD-10348,3,876.14,Lagos Hub
ORD-10349,6,1791.12,Lagos Hub
ORD-10350,4,1873.63,PH Hub
ORD-10351,5,2701.44,PH Hub
ORD-10352,2,2042.0,Lagos Hub
ORD-10353,7,1604.16,Lagos Hub
ORD-10354,4,3428.64,Lagos Hub
ORD-10355,4,1020.01,Abuja Hub
ORD-10356,8,826.54,Lagos Hub
ORD-10357,3,2375.07,PH Hub
ORD-10358,5,608.64,PH Hub
ORD-10359,3,3283.15,Abuja Hub
ORD-10360,3,2747.1,PH Hub
ORD-10361,5,1279.07,Lagos Hub
ORD-10362,5,2138.45,Lagos Hub
ORD-10363,2,2625.75,Lagos Hub
ORD-10364,2,1916.89,Abuja Hub
ORD-10365,3,2097.11,Lagos Hub
ORD-10366,3,3085.3,Lagos Hub
ORD-10367,3,3122.11,PH Hub
ORD-10368,5,1918.1,Lagos Hub
ORD-10369,4,2060.7,Abuja Hub
ORD-10370,6,519.26,Lagos Hub
ORD-10371,6,805.52,Lagos Hub
ORD-10372,5,1526.56,Abuja Hub
ORD-10373,4,3124.02,Abuja Hub
ORD-10374,2,1264.7,Lagos Hub
ORD-10375,5,1230.7,Abuja Hub
ORD-10376,5,580.73,Abuja Hub
ORD-10377,4,581.91,Abuja Hub
ORD-10378,1,1900.47,Lagos Hub
ORD-10379,10,2621.56,Lagos Hub
ORD-10380,5,3287.25,Lagos Hub
ORD-10381,5,685.21,Abuja Hub
ORD-10382,5,3307.65,Lagos Hub
ORD-10383,4,1208.27,Abuja Hub
ORD-10384,4,665.69,PH Hub
ORD-10385,3,2294.52,Abuja Hub
ORD-10386,7,2887.31,Lagos Hub
ORD-10387,5,3348.47,Lagos Hub
ORD-10388,7,3203.43,PH Hub
ORD-10389,1,2835.3,Abuja Hub
ORD-10390,1,2009.82,Abuja Hub
ORD-10391,2,1893.55,Lagos Hub
ORD-10392,6,3412.42,Lagos Hub
ORD-10393,3,1676.46,PH Hub
ORD-10394,2,534.23,Abuja Hub
ORD-10395,3,2271.56,Lagos Hub
ORD-10396,4,1235.8,Abuja Hub
ORD-10397,6,2859.62,Lagos Hub
ORD-10398,5,3492.01,PH Hub
ORD-10399,2,1934.75,Abuja Hub
ORD-10400,6,3069.48,Lagos Hub
ORD-10401,5,676.04,Lagos Hub
ORD-10402,2,1479.78,PH Hub
ORD-10403,1,3277.79,Lagos Hub
ORD-10404,3,2240.85,Abuja Hub
ORD-10405,2,1658.79,Lagos Hub
ORD-10406,4,2321.88,PH Hub
ORD-10407,1,1732.79,Lagos Hub
ORD-10408,5,2862.98,Abuja Hub
ORD-10409,2,591.77,Lagos Hub
ORD-10410,1,1432.58,Abuja Hub
ORD-10411,7,680.72,Lagos Hub
ORD-10412,2,1352.41,Lagos Hub
ORD-10413,6,3402.17,Lagos Hub
ORD-10414,1,3078.34,PH Hub
ORD-10415,2,2868.53,Lagos Hub
ORD-10416,4,2494.79,Lagos Hub
ORD-10417,1,3052.78,Lagos Hub
ORD-10418,7,1301.8,Lagos Hub
ORD-10419,3,1528.6,Lagos Hub
ORD-10420,6,2337.84,PH Hub
ORD-10421,5,3453.71,Lagos Hub
ORD-10422,2,546.42,Lagos Hub
ORD-10423,4,2312.72,Lagos Hub
ORD-10424,14,1593.85,Abuja Hub
ORD-10425,5,2342.71,Lagos Hub
ORD-10426,3,765.23,PH Hub
ORD-10427,7,2326.59,PH Hub
ORD-10428,3,2601.97,Abuja Hub
ORD-10429,6,1640.63,PH Hub
ORD-10430,2,2859.86,Lagos Hub
ORD-10431,4,1417.88,PH Hub
ORD-10432,4,2428.12,Lagos Hub
ORD-10433,3,1391.37,PH Hub
ORD-10434,3,2369.39,Lagos Hub
ORD-10435,4,2564.63,Lagos Hub
ORD-10436,3,1536.56,Abuja Hub
ORD-10437,4,1295.23,Lagos Hub
ORD-10438,7,1901.08,Lagos Hub
ORD-10439,4,2501.22,Abuja Hub
ORD-10440,7,3455.65,Lagos Hub
ORD-10441,3,3325.82,Lagos Hub
ORD-10442,5,2988.14,Lagos Hub
ORD-10443,4,2961.39,Abuja Hub
ORD-10444,2,1586.23,Lagos Hub
ORD-10445,4,2808.19,Abuja Hub
ORD-10446,7,1268.58,Lagos Hub
ORD-10447,3,1450.53,PH Hub
ORD-10448,5,2842.99,PH Hub
ORD-10449,4,2667.96,Lagos Hub
ORD-10450,2,1813.74,Lagos Hub
ORD-10451,2,1687.27,Lagos Hub
ORD-10452,3,1983.42,PH Hub
ORD-10453,5,3412.15,Abuja Hub
ORD-10454,2,2075.24,Abuja Hub
ORD-10455,3,1230.49,Lagos Hub
ORD-10456,2,1274.04,Abuja Hub
ORD-10457,3,1494.41,Abuja Hub
ORD-10458,4,3286.34,Abuja Hub
ORD-10459,2,559.1,Lagos Hub
ORD-10460,3,541.02,Lagos Hub
ORD-10461,3,2599.38,Abuja Hub
ORD-10462,6,855.41,Lagos Hub
ORD-10463,1,1176.07,Lagos Hub
ORD-10464,6,2284.77,Lagos Hub
ORD-10465,5,2127.99,Lagos Hub
ORD-10466,4,2584.28,Abuja Hub
ORD-10467,4,1697.82,Lagos Hub
ORD-10468,5,3066.58,Lagos Hub
ORD-10469,6,3191.57,Abuja Hub
ORD-10470,5,853.26,Abuja Hub
ORD-10471,6,2175.87,Lagos Hub
ORD-10472,1,1632.92,Lagos Hub
ORD-10473,6,525.18,PH Hub
ORD-10474,7,3175.82,Lagos Hub
ORD-10475,5,2059.78,Lagos Hub
ORD-10476,2,3407.56,PH Hub
ORD-10477,8,2727.4,Lagos Hub
ORD-10478,2,1808.42,Lagos Hub
ORD-10479,4,2080.47,Lagos Hub
ORD-10480,3,3321.97,PH Hub
ORD-10481,8,3181.29,Lagos Hub
ORD-10482,5,508.37,Lagos Hub
ORD-10483,3,3034.39,Abuja Hub
ORD-10484,3,1888.36,Lagos Hub
ORD-10485,2,662.2,Abuja Hub
ORD-10486,7,2067.32,Lagos Hub
ORD-10487,4,2927.42,Lagos Hub
ORD-10488,5,911.18,Abuja Hub
ORD-10489,1,3197.01,PH Hub
ORD-10490,5,911.41,Lagos Hub
ORD-10491,2,1195.41,Abuja Hub
ORD-10492,5,592.15,Lagos Hub
ORD-10493,3,1722.37,Abuja Hub
ORD-10494,1,2737.59,Abuja Hub
ORD-10495,8,2529.87,Abuja Hub
ORD-10496,2,1867.59,Abuja Hub
ORD-10497,3,2217.61,Abuja Hub
ORD-10498,5,3218.96,Lagos Hub
ORD-10499,2,1114.23,Lagos Hub
ORD-10500,3,1314.95,Lagos Hub
ORD-10501,5,821.52,Abuja Hub
ORD-10502,1,1413.13,Abuja Hub
ORD-10503,4,1346.61,Lagos Hub
ORD-10504,4,1045.71,Lagos Hub
ORD-10505,4,2840.94,PH Hub
ORD-10506,3,2054.25,Lagos Hub
ORD-10507,6,2897.08,Lagos Hub
ORD-10508,4,628.16,Lagos Hub
ORD-10509,3,2781.1,Lagos Hub
ORD-10510,4,3260.03,Abuja Hub
ORD-10511,6,1918.98,Lagos Hub
ORD-10512,3,2771.26,Lagos Hub
ORD-10513,4,1027.3,Lagos Hub
ORD-10514,2,2715.75,Lagos Hub
ORD-10515,4,522.42,Abuja Hub
ORD-10516,6,2005.65,Abuja Hub
ORD-10517,6,1673.53,Lagos Hub
ORD-10518,4,1111.19,Abuja Hub
ORD-10519,2,2021.83,Lagos Hub
ORD-10520,4,800.36,Lagos Hub
ORD-10521,7,2123.76,Abuja Hub
ORD-10522,8,3241.39,Lagos Hub
ORD-10523,5,3282.54,Lagos Hub
ORD-10524,3,2958.04,Lagos Hub
ORD-10525,6,2443.35,Lagos Hub
ORD-10526,8,1303.12,Lagos Hub
ORD-10527,5,1558.48,Abuja Hub
ORD-10528,5,2477.96,Lagos Hub
ORD-10529,6,1582.3,Abuja Hub
ORD-10530,7,2599.62,PH Hub
ORD-10531,6,1342.54,Lagos Hub
ORD-10532,5,916.07,Lagos Hub
ORD-10533,4,1865.93,Abuja Hub
ORD-10534,3,2718.17,Lagos Hub
ORD-10535,2,3094.49,Lagos Hub
ORD-10536,3,1759.99,Lagos Hub
ORD-10537,4,954.77,Abuja Hub
ORD-10538,3,2248.23,Lagos Hub
ORD-10539,2,3490.54,Lagos Hub
ORD-10540,8,1020.53,PH Hub
ORD-10541,4,515.17,Lagos Hub
ORD-10542,3,1751.41,Abuja Hub
ORD-10543,2,2181.22,Lagos Hub
ORD-10544,4,3212.47,PH Hub
ORD-10545,10,1551.42,Abuja Hub
ORD-10546,5,3449.02,Lagos Hub
ORD-10547,4,1781.93,Lagos Hub
ORD-10548,4,1153.04,Lagos Hub
ORD-10549,4,1747.25,PH Hub
ORD-10550,4,1065.27,PH Hub
ORD-10551,4,2558.96,Lagos Hub
ORD-10552,3,2891.8,PH Hub
ORD-10553,7,1296.79,Lagos Hub
ORD-10554,5,1510.87,Lagos Hub
ORD-10555,4,1773.9,Lagos Hub
ORD-10556,2,688.18,Abuja Hub
ORD-10557,7,3189.39,Abuja Hub
ORD-10558,4,2202.44,Abuja Hub
ORD-10559,5,3435.77,Lagos Hub
ORD-10560,6,1342.3,Lagos Hub
ORD-10561,6,2307.99,Lagos Hub
ORD-10562,5,1743.76,Lagos Hub
ORD-10563,4,2993.98,Abuja Hub
ORD-10564,6,1727.39,PH Hub
ORD-10565,5,878.11,Lagos Hub
ORD-10566,4,1888.89,Lagos Hub
ORD-10567,4,677.7,Lagos Hub
ORD-10568,4,3445.94,Lagos Hub
ORD-10569,4,3016.54,Lagos Hub
ORD-10570,2,3191.42,PH Hub
ORD-10571,3,2673.87,Lagos Hub
ORD-10572,3,1204.41,Lagos Hub
ORD-10573,7,518.63,PH Hub
ORD-10574,4,1123.32,Abuja Hub
ORD-10575,6,2163.0,Lagos Hub
ORD-10576,14,2212.01,Abuja Hub
ORD-10577,2,1158.93,PH Hub
ORD-10578,2,1071.7,Lagos Hub
ORD-10579,5,1447.91,Lagos Hub
ORD-10580,4,2799.53,Lagos Hub
ORD-10581,4,914.62,Lagos Hub
ORD-10582,3,3194.41,Lagos Hub
ORD-10583,3,3276.07,Lagos Hub
ORD-10584,4,537.38,Abuja Hub
ORD-10585,6,3306.33,Abuja Hub
ORD-10586,2,2341.31,Lagos Hub
ORD-10587,3,779.96,Lagos Hub
ORD-10588,5,2121.47,Lagos Hub
ORD-10589,14,2272.71,Lagos Hub
ORD-10590,2,1400.62,Lagos Hub
ORD-10591,1,863.94,Lagos Hub
ORD-10592,5,3020.66,Abuja Hub
ORD-10593,4,1138.68,Abuja Hub
ORD-10594,5,2742.95,Lagos Hub
ORD-10595,6,2938.29,Lagos Hub
ORD-10596,3,978.14,PH Hub
ORD-10597,5,1916.56,Lagos Hub
ORD-10598,5,3355.63,Lagos Hub
ORD-10599,2,2388.66,PH Hub
ORD-10600,7,860.23,Lagos Hub
ORD-10601,3,1853.02,PH Hub
ORD-10602,3,3196.22,Abuja Hub
ORD-10603,5,631.06,Lagos Hub
ORD-10604,8,3015.93,Lagos Hub
ORD-10605,3,2947.19,Abuja Hub
ORD-10606,6,3013.87,Lagos Hub
ORD-10607,3,1446.85,PH Hub
ORD-10608,4,1267.49,PH Hub
ORD-10609,3,1905.97,Lagos Hub
ORD-10610,3,1538.42,Lagos Hub
ORD-10611,4,3298.61,Abuja Hub
ORD-10612,5,1599.04,PH Hub
ORD-10613,3,1608.6,Lagos Hub
ORD-10614,4,2077.6,Lagos Hub
ORD-10615,6,3381.64,PH Hub
ORD-10616,5,2473.01,Abuja Hub
ORD-10617,3,1882.49,Abuja Hub
ORD-10618,6,1830.27,Lagos Hub
ORD-10619,4,1954.62,PH Hub
ORD-10620,4,2668.75,Abuja Hub
ORD-10621,6,2553.62,Lagos Hub
ORD-10622,4,1552.6,Abuja Hub
ORD-10623,2,3163.06,Abuja Hub
ORD-10624,4,2095.51,Lagos Hub
ORD-10625,3,641.0,PH Hub
ORD-10626,14,3046.73,Lagos Hub
ORD-10627,4,1884.6,Abuja Hub
ORD-10628,2,2517.89,Abuja Hub
ORD-10629,3,3434.74,Lagos Hub
ORD-10630,4,2831.49,Abuja Hub
ORD-10631,5,689.13,Abuja Hub
ORD-10632,3,3008.34,Abuja Hub
ORD-10633,3,1309.97,Lagos Hub
ORD-10634,5,1634.67,Abuja Hub
ORD-10635,7,1935.49,Abuja Hub
ORD-10636,4,2450.49,PH Hub
ORD-10637,4,1833.06,Abuja Hub
ORD-10638,4,1192.16,Lagos Hub
ORD-10639,5,2367.02,Lagos Hub
ORD-10640,5,1438.62,Lagos Hub
ORD-10641,4,1895.27,Lagos Hub
ORD-10642,3,2998.34,Lagos Hub
ORD-10643,3,2500.95,Abuja Hub
ORD-10644,3,539.57,Abuja Hub
ORD-10645,4,1552.38,Lagos Hub
ORD-10646,7,856.01,Lagos Hub
