order_id,customer_id,region,channel,customer_segment
ORD-10099,CUST-1099,Lagos,Mobile App,Loyal
ORD-10100,CUST-1100,Lagos,Web,VIP
ORD-10101,CUST-1101,Port Harcourt,Agent Network,Returning
ORD-10102,CUST-1102,Ibadan,WhatsApp Commerce,New Customer
ORD-10103,CUST-1103,Abuja,WhatsApp Commerce,Returning
ORD-10104,CUST-1104,Abuja,Agent Network,New Customer
ORD-10105,CUST-1105,Lagos,Mobile App,Returning
ORD-10106,CUST-1106,Lagos,Agent Network,Loyal
ORD-10107,CUST-1107,Abuja,Mobile App,New Customer
ORD-10108,CUST-1108,Abuja,Mobile App,Returning
ORD-10109,CUST-1109,Abuja,Web,Returning
ORD-10110,CUST-1110,Lagos,Mobile App,New Customer
ORD-10111,CUST-1111,Abuja,Web,Returning
ORD-10112,CUST-1112,Lagos,Web,Returning
ORD-10113,CUST-1113,Abuja,Mobile App,New Customer
ORD-10114,CUST-1114,Kano,Mobile App,Loyal
ORD-10115,CUST-1115,Abuja,Web,VIP
ORD-10116,CUST-1116,Abuja,WhatsApp Commerce,New Customer
ORD-10117,CUST-1117,Abuja,Web,VIP
ORD-10118,CUST-1118,Abuja,Mobile App,VIP
ORD-10119,CUST-1119,Port Harcourt,Agent Network,VIP
ORD-10120,CUST-1120,Abuja,Mobile App,Loyal
ORD-10121,CUST-1121,Enugu,Web,New Customer
ORD-10122,CUST-1122,Lagos,Web,Returning
ORD-10123,CUST-1123,Abuja,Mobile App,Returning
ORD-10124,CUST-1124,Port Harcourt,Mobile App,New Customer
ORD-10125,CUST-1125,Kano,Web,Returning
ORD-10126,CUST-1126,Lagos,Mobile App,VIP
ORD-10127,CUST-1127,Lagos,WhatsApp Commerce,Returning
ORD-10128,CUST-1128,Lagos,Agent Network,Loyal
ORD-10129,CUST-1129,Abuja,Web,Loyal
ORD-10130,CUST-1130,Lagos,Web,New Customer
ORD-10131,CUST-1131,Kano,WhatsApp Commerce,Returning
ORD-10132,CUST-1132,Lagos,Web,New Customer
ORD-10133,CUST-1133,Kano,Mobile App,Returning
ORD-10134,CUST-1134,Port Harcourt,Web,New Customer
ORD-10135,CUST-1135,Lagos,Mobile App,Loyal
ORD-10136,CUST-1136,Port Harcourt,Mobile App,New Customer
ORD-10137,CUST-1137,Lagos,Web,VIP
ORD-10138,CUST-1138,Abuja,Mobile App,Loyal
ORD-10139,CUST-1139,Abuja,Agent Network,VIP
ORD-10140,CUST-1140,Lagos,Mobile App,VIP
ORD-10141,CUST-1141,Abuja,Web,Loyal
ORD-10142,CUST-1142,Lagos,Agent Network,VIP
ORD-10143,CUST-1143,Lagos,WhatsApp Commerce,New Customer
ORD-10144,CUST-1144,Enugu,Web,Returning
ORD-10145,CUST-1145,Lagos,Agent Network,Loyal
ORD-10146,CUST-1146,Ibadan,Web,New Customer
ORD-10147,CUST-1147,Kano,Mobile App,Returning
ORD-10148,CUST-1148,Abuja,Mobile App,New Customer
ORD-10149,CUST-1149,Kano,WhatsApp Commerce,Returning
ORD-10150,CUST-1150,Lagos,Mobile App,Returning
ORD-10151,CUST-1151,Lagos,Mobile App,Returning
ORD-10152,CUST-1152,Kano,Mobile App,Returning
ORD-10153,CUST-1153,Lagos,Mobile App,New Customer
ORD-10154,CUST-1154,Port Harcourt,Web,Returning
ORD-10155,CUST-1155,Ibadan,WhatsApp Commerce,New Customer
ORD-10156,CUST-1156,Lagos,Mobile App,VIP
ORD-10157,CUST-1157,Ibadan,Agent Network,VIP
ORD-10158,CUST-1158,Ibadan,Mobile App,New Customer
ORD-10159,CUST-1159,Lagos,WhatsApp Commerce,New Customer
ORD-10160,CUST-1160,Port Harcourt,WhatsApp Commerce,Loyal
ORD-10161,CUST-1161,Lagos,Mobile App,VIP
ORD-10162,CUST-1162,Lagos,Mobile App,VIP
ORD-10163,CUST-1163,Lagos,WhatsApp Commerce,Loyal
ORD-10164,CUST-1164,Abuja,Mobile App,New Customer
ORD-10165,CUST-1165,Abuja,Mobile App,Loyal
ORD-10166,CUST-1166,Abuja,Web,Returning
ORD-10167,CUST-1167,Port Harcourt,WhatsApp Commerce,New Customer
ORD-10168,CUST-1168,Kano,Mobile App,New Customer
ORD-10169,CUST-1169,Lagos,Agent Network,Loyal
ORD-10170,CUST-1170,Abuja,Agent Network,Returning
ORD-10171,CUST-1171,Lagos,WhatsApp Commerce,New Customer
ORD-10172,CUST-1172,Enugu,Mobile App,Loyal
ORD-10173,CUST-1173,Lagos,WhatsApp Commerce,Loyal
ORD-10174,CUST-1174,Lagos,WhatsApp Commerce,VIP
ORD-10175,CUST-1175,Port Harcourt,Mobile App,Loyal
ORD-10176,CUST-1176,Lagos,Mobile App,Loyal
ORD-10177,CUST-1177,Abuja,Mobile App,New Customer
ORD-10178,CUST-1178,Kano,Mobile App,New Customer
ORD-10179,CUST-1179,Abuja,Mobile App,New Customer
ORD-10180,CUST-1180,Lagos,Mobile App,Returning
ORD-10181,CUST-1181,Port Harcourt,Mobile App,Returning
ORD-10182,CUST-1182,Port Harcourt,Web,Loyal
ORD-10183,CUST-1183,Port Harcourt,Mobile App,Returning
ORD-10184,CUST-1184,Abuja,Mobile App,New Customer
ORD-10185,CUST-1185,Kano,Web,Returning
ORD-10186,CUST-1186,Kano,Mobile App,Loyal
ORD-10187,CUST-1187,Lagos,Agent Network,VIP
ORD-10188,CUST-1188,Lagos,Agent Network,VIP
ORD-10189,CUST-1189,Port Harcourt,Mobile App,Returning
ORD-10190,CUST-1190,Kano,Web,New Customer
ORD-10191,CUST-1191,Abuja,Web,Returning
ORD-10192,CUST-1192,Kano,Agent Network,New Customer
ORD-10193,CUST-1193,Lagos,Mobile App,Loyal
ORD-10194,CUST-1194,Ibadan,Mobile App,Returning
ORD-10195,CUST-1195,Abuja,Mobile App,VIP
ORD-10196,CUST-1196,Port Harcourt,Mobile App,Loyal
ORD-10197,CUST-1197,Lagos,Web,Loyal
ORD-10198,CUST-1198,Abuja,Mobile App,Returning
ORD-10199,CUST-1199,Abuja,Agent Network,Loyal
ORD-10200,CUST-1200,Kano,WhatsApp Commerce,Returning
ORD-10201,CUST-1201,Abuja,Mobile App,Returning
ORD-10202,CUST-1202,Lagos,Mobile App,Returning
ORD-10203,CUST-1203,Port Harcourt,Mobile App,VIP
ORD-10204,CUST-1204,Lagos,Web,VIP
ORD-10205,CUST-1205,Lagos,Mobile App,Returning
ORD-10206,CUST-1206,Lagos,Agent Network,Returning
ORD-10207,CUST-1207,Abuja,Mobile App,Loyal
ORD-10208,CUST-1208,Port Harcourt,Mobile App,VIP
ORD-10209,CUST-1209,Port Harcourt,Agent Network,Returning
ORD-10210,CUST-1210,Port Harcourt,Web,Loyal
ORD-10211,CUST-1211,Lagos,WhatsApp Commerce,VIP
ORD-10212,CUST-1212,Enugu,Web,VIP
ORD-10213,CUST-1213,Lagos,Mobile App,New Customer
ORD-10214,CUST-1214,Port Harcourt,Mobile App,Returning
ORD-10215,CUST-1215,Lagos,Web,Loyal
ORD-10216,CUST-1216,Abuja,WhatsApp Commerce,Loyal
ORD-10217,CUST-1217,Port Harcourt,Mobile App,New Customer
ORD-10218,CUST-1218,Enugu,WhatsApp Commerce,New Customer
ORD-10219,CUST-1219,Enugu,WhatsApp Commerce,Loyal
ORD-10220,CUST-1220,Abuja,WhatsApp Commerce,Returning
ORD-10221,CUST-1221,Port Harcourt,Mobile App,New Customer
ORD-10222,CUST-1222,Abuja,Mobile App,Returning
ORD-10223,CUST-1223,Abuja,Mobile App,VIP
ORD-10224,CUST-1224,Abuja,Web,VIP
ORD-10225,CUST-1225,Lagos,Mobile App,New Customer
ORD-10226,CUST-1226,Lagos,Mobile App,Returning
ORD-10227,CUST-1227,Lagos,Agent Network,New Customer
ORD-10228,CUST-1228,Kano,Mobile App,VIP
ORD-10229,CUST-1229,Ibadan,Mobile App,Returning
ORD-10230,CUST-1230,Lagos,Mobile App,Returning
ORD-10231,CUST-1231,Ibadan,Web,Loyal
ORD-10232,CUST-1232,Port Harcourt,WhatsApp Commerce,New Customer
ORD-10233,CUST-1233,Abuja,Mobile App,New Customer
ORD-10234,CUST-1234,Lagos,Mobile App,Loyal
ORD-10235,CUST-1235,Port Harcourt,Web,Returning
ORD-10236,CUST-1236,Abuja,Web,New Customer
ORD-10237,CUST-1237,Lagos,WhatsApp Commerce,Loyal
ORD-10238,CUST-1238,Lagos,Web,Returning
ORD-10239,CUST-1239,Lagos,Web,Loyal
ORD-10240,CUST-1240,Port Harcourt,Web,Loyal
ORD-10241,CUST-1241,Lagos,Mobile App,Returning
ORD-10242,CUST-1242,Enugu,Web,New Customer
ORD-10243,CUST-1243,Abuja,Agent Network,Returning
ORD-10244,CUST-1244,Lagos,Mobile App,Returning
ORD-10245,CUST-1245,Kano,Mobile App,New Customer
ORD-10246,CUST-1246,Lagos,Web,New Customer
ORD-10247,CUST-1247,Kano,Web,Returning
ORD-10248,CUST-1248,Abuja,Mobile App,Returning
ORD-10249,CUST-1249,Abuja,Mobile App,New Customer
ORD-10250,CUST-1250,Kano,Web,Returning
ORD-10251,CUST-1251,Lagos,Web,Returning
ORD-10252,CUST-1252,Lagos,WhatsApp Commerce,New Customer
ORD-10253,CUST-1253,Port Harcourt,Web,Returning
ORD-10254,CUST-1254,Lagos,Web,Loyal
ORD-10255,CUST-1255,Lagos,WhatsApp Commerce,Loyal
ORD-10256,CUST-1256,Lagos,Mobile App,VIP
ORD-10257,CUST-1257,Lagos,Mobile App,New Customer
ORD-10258,CUST-1258,Lagos,Mobile App,New Customer
ORD-10259,CUST-1259,Kano,Web,Loyal
ORD-10260,CUST-1260,Lagos,WhatsApp Commerce,Returning
ORD-10261,CUST-1261,Port Harcourt,Mobile App,New Customer
ORD-10262,CUST-1262,Lagos,Web,Loyal
ORD-10263,CUST-1263,Lagos,Mobile App,Loyal
ORD-10264,CUST-1264,Enugu,Mobile App,Returning
ORD-10265,CUST-1265,Port Harcourt,Web,New Customer
ORD-10266,CUST-1266,Port Harcourt,Agent Network,Returning
ORD-10267,CUST-1267,Enugu,Mobile App,Returning
ORD-10268,CUST-1268,Port Harcourt,Web,VIP
ORD-10269,CUST-1269,Ibadan,Web,Loyal
ORD-10270,CUST-1270,Abuja,Web,New Customer
ORD-10271,CUST-1271,Abuja,Mobile App,VIP
ORD-10272,CUST-1272,Lagos,Mobile App,Returning
ORD-10273,CUST-1273,Enugu,WhatsApp Commerce,Loyal
ORD-10274,CUST-1274,Lagos,WhatsApp Commerce,New Customer
ORD-10275,CUST-1275,Port Harcourt,Web,Returning
ORD-10276,CUST-1276,Kano,Web,New Customer
ORD-10277,CUST-1277,Kano,WhatsApp Commerce,Returning
ORD-10278,CUST-1278,Kano,Mobile App,Loyal
ORD-10279,CUST-1279,Lagos,Web,Returning
ORD-10280,CUST-1280,Lagos,Web,Loyal
ORD-10281,CUST-1281,Port Harcourt,WhatsApp Commerce,Loyal
ORD-10282,CUST-1282,Enugu,Web,VIP
ORD-10283,CUST-1283,Lagos,WhatsApp Commerce,Loyal
ORD-10284,CUST-1284,Lagos,Web,Returning
ORD-10285,CUST-1285,Lagos,Mobile App,Loyal
ORD-10286,CUST-1286,Lagos,Mobile App,Loyal
ORD-10287,CUST-1287,Port Harcourt,Web,Loyal
ORD-10288,CUST-1288,Abuja,Web,Returning
ORD-10289,CUST-1289,Enugu,Mobile App,Loyal
ORD-10290,CUST-1290,Lagos,WhatsApp Commerce,New Customer
ORD-10291,CUST-1291,Abuja,Web,Loyal
ORD-10292,CUST-1292,Ibadan,Web,Loyal
ORD-10293,CUST-1293,Kano,Mobile App,New Customer
ORD-10294,CUST-1294,Port Harcourt,WhatsApp Commerce,Returning
ORD-10295,CUST-1295,Kano,Web,Returning
ORD-10296,CUST-1296,Lagos,Web,Returning
ORD-10297,CUST-1297,Abuja,Mobile App,VIP
ORD-10298,CUST-1298,Ibadan,Mobile App,Loyal
ORD-10299,CUST-1299,Port Harcourt,Agent Network,New Customer
ORD-10300,CUST-1300,Kano,Web,Loyal
ORD-10301,CUST-1301,Abuja,Mobile App,Returning
ORD-10302,CUST-1302,Lagos,Mobile App,Loyal
ORD-10303,CUST-1303,Lagos,Web,Returning
ORD-10304,CUST-1304,Kano,Mobile App,Loyal
ORD-10305,CUST-1305,Abuja,Mobile App,New Customer
ORD-10306,CUST-1306,Port Harcourt,Web,Returning
ORD-10307,CUST-1307,Enugu,WhatsApp Commerce,New Customer
ORD-10308,CUST-1308,Enugu,Mobile App,New Customer
ORD-10309,CUST-1309,Abuja,Mobile App,New Customer
ORD-10310,CUST-1310,Abuja,Mobile App,Loyal
ORD-10311,CUST-1311,Enugu,Web,VIP
ORD-10312,CUST-1312,Lagos,Mobile App,New Customer
ORD-10313,CUST-1313,Abuja,Agent Network,VIP
ORD-10314,CUST-1314,Lagos,Mobile App,Loyal
ORD-10315,CUST-1315,Lagos,Agent Network,Returning
ORD-10316,CUST-1316,Abuja,WhatsApp Commerce,VIP
ORD-10317,CUST-1317,Lagos,Mobile App,Returning
ORD-10318,CUST-1318,Abuja,Mobile App,New Customer
ORD-10319,CUST-1319,Enugu,Mobile App,Returning
ORD-10320,CUST-1320,Kano,Mobile App,Loyal
ORD-10321,CUST-1321,Ibadan,Web,Loyal
ORD-10322,CUST-1322,Port Harcourt,WhatsApp Commerce,Returning
ORD-10323,CUST-1323,Port Harcourt,Mobile App,Loyal
ORD-10324,CUST-1324,Ibadan,Mobile App,Loyal
ORD-10325,CUST-1325,Abuja,Mobile App,Returning
ORD-10326,CUST-1326,Kano,Mobile App,New Customer
ORD-10327,CUST-1327,Lagos,Mobile App,Returning
ORD-10328,CUST-1328,Kano,Mobile App,Loyal
ORD-10329,CUST-1329,Lagos,Web,VIP
ORD-10330,CUST-1330,Kano,Mobile App,New Customer
ORD-10331,CUST-1331,Lagos,WhatsApp Commerce,Returning
ORD-10332,CUST-1332,Kano,Web,Returning
ORD-10333,CUST-1333,Lagos,Mobile App,VIP
ORD-10334,CUST-1334,Kano,Agent Network,Returning
ORD-10335,CUST-1335,Abuja,Mobile App,New Customer
ORD-10336,CUST-1336,Ibadan,Mobile App,Loyal
ORD-10337,CUST-1337,Ibadan,WhatsApp Commerce,Returning
ORD-10338,CUST-1338,Lagos,Mobile App,Loyal
ORD-10339,CUST-1339,Lagos,WhatsApp Commerce,VIP
ORD-10340,CUST-1340,Port Harcourt,Mobile App,New Customer
ORD-10341,CUST-1341,Port Harcourt,Agent Network,Returning
ORD-10342,CUST-1342,Lagos,Mobile App,Loyal
ORD-10343,CUST-1343,Port Harcourt,Web,New Customer
ORD-10344,CUST-1344,Abuja,Web,New Customer
ORD-10345,CUST-1345,Lagos,Mobile App,Loyal
ORD-10346,CUST-1346,Kano,Web,Returning
ORD-10347,CUST-1347,Lagos,Mobile App,Returning
ORD-10348,CUST-1348,Ibadan,Agent Network,Loyal
ORD-10349,CUST-1349,Kano,Mobile App,VIP
ORD-10350,CUST-1350,Ibadan,Mobile App,New Customer
ORD-10351,CUST-1351,Abuja,Mobile App,Returning
ORD-10352,CUST-1352,Lagos,Mobile App,Loyal
ORD-10353,CUST-1353,Kano,Mobile App,Returning
ORD-10354,CUST-1354,Port Harcourt,Mobile App,VIP
ORD-10355,CUST-1355,Lagos,Web,Returning
ORD-10356,CUST-1356,Enugu,Mobile App,Returning
ORD-10357,CUST-1357,Ibadan,Mobile App,Loyal
ORD-10358,CUST-1358,Ibadan,Web,Loyal
ORD-10359,CUST-1359,Abuja,WhatsApp Commerce,Returning
ORD-10360,CUST-1360,Lagos,Mobile App,Loyal
ORD-10361,CUST-1361,Kano,Web,Returning
ORD-10362,CUST-1362,Ibadan,Web,New Customer
ORD-10363,CUST-1363,Abuja,Web,VIP
ORD-10364,CUST-1364,Enugu,Agent Network,VIP
ORD-10365,CUST-1365,Lagos,WhatsApp Commerce,Returning
ORD-10366,CUST-1366,Lagos,Agent Network,Loyal
ORD-10367,CUST-1367,Port Harcourt,Web,VIP
ORD-10368,CUST-1368,Lagos,Mobile App,Loyal
ORD-10369,CUST-1369,Enugu,Web,Returning
ORD-10370,CUST-1370,Lagos,Mobile App,VIP
ORD-10371,CUST-1371,Kano,Mobile App,VIP
ORD-10372,CUST-1372,Lagos,Agent Network,VIP
ORD-10373,CUST-1373,Abuja,WhatsApp Commerce,Returning
ORD-10374,CUST-1374,Abuja,Web,Returning
ORD-10375,CUST-1375,Kano,Web,Returning
ORD-10376,CUST-1376,Lagos,Mobile App,Loyal
ORD-10377,CUST-1377,Abuja,Mobile App,Loyal
ORD-10378,CUST-1378,Lagos,Mobile App,Returning
ORD-10379,CUST-1379,Lagos,Web,Returning
ORD-10380,CUST-1380,Abuja,Mobile App,Loyal
ORD-10381,CUST-1381,Enugu,WhatsApp Commerce,New Customer
ORD-10382,CUST-1382,Lagos,Mobile App,Loyal
ORD-10383,CUST-1383,Lagos,Mobile App,Returning
ORD-10384,CUST-1384,Lagos,Mobile App,Loyal
ORD-10385,CUST-1385,Lagos,Web,New Customer
ORD-10386,CUST-1386,Port Harcourt,Mobile App,Returning
ORD-10387,CUST-1387,Abuja,Web,Loyal
ORD-10388,CUST-1388,Ibadan,Web,Loyal
ORD-10389,CUST-1389,Kano,Mobile App,Returning
ORD-10390,CUST-1390,Port Harcourt,Mobile App,New Customer
ORD-10391,CUST-1391,Enugu,Web,Loyal
ORD-10392,CUST-1392,Enugu,Mobile App,Returning
ORD-10393,CUST-1393,Lagos,Mobile App,Loyal
ORD-10394,CUST-1394,Lagos,Mobile App,Returning
ORD-10395,CUST-1395,Abuja,Mobile App,Returning
ORD-10396,CUST-1396,Ibadan,Web,New Customer
ORD-10397,CUST-1397,Ibadan,Agent Network,Returning
ORD-10398,CUST-1398,Lagos,Mobile App,New Customer
ORD-10399,CUST-1399,Lagos,Web,New Customer
ORD-10400,CUST-1400,Lagos,WhatsApp Commerce,Loyal
ORD-10401,CUST-1401,Kano,Agent Network,Loyal
ORD-10402,CUST-1402,Kano,Web,VIP
ORD-10403,CUST-1403,Lagos,Web,Loyal
ORD-10404,CUST-1404,Lagos,Mobile App,Returning
ORD-10405,CUST-1405,Ibadan,Web,Loyal
ORD-10406,CUST-1406,Lagos,Web,Loyal
ORD-10407,CUST-1407,Lagos,Web,Returning
ORD-10408,CUST-1408,Abuja,Web,Loyal
ORD-10409,CUST-1409,Lagos,Agent Network,Returning
ORD-10410,CUST-1410,Lagos,Web,VIP
ORD-10411,CUST-1411,Lagos,Web,Loyal
ORD-10412,CUST-1412,Port Harcourt,Web,Returning
ORD-10413,CUST-1413,Kano,Agent Network,Returning
ORD-10414,CUST-1414,Lagos,Mobile App,Loyal
ORD-10415,CUST-1415,Abuja,Mobile App,New Customer
ORD-10416,CUST-1416,Abuja,Mobile App,Returning
ORD-10417,CUST-1417,Lagos,WhatsApp Commerce,Loyal
ORD-10418,CUST-1418,Port Harcourt,Mobile App,Returning
ORD-10419,CUST-1419,Port Harcourt,Mobile App,Returning
ORD-10420,CUST-1420,Enugu,Mobile App,Returning
ORD-10421,CUST-1421,Port Harcourt,Mobile App,New Customer
ORD-10422,CUST-1422,Lagos,Agent Network,Loyal
ORD-10423,CUST-1423,Enugu,Mobile App,Loyal
ORD-10424,CUST-1424,Lagos,Web,VIP
ORD-10425,CUST-1425,Lagos,Mobile App,New Customer
ORD-10426,CUST-1426,Lagos,Web,Returning
ORD-10427,CUST-1427,Abuja,Agent Network,VIP
ORD-10428,CUST-1428,Kano,Agent Network,Returning
ORD-10429,CUST-1429,Ibadan,Web,Loyal
ORD-10430,CUST-1430,Abuja,Mobile App,New Customer
ORD-10431,CUST-1431,Abuja,Mobile App,New Customer
ORD-10432,CUST-1432,Kano,Mobile App,New Customer
ORD-10433,CUST-1433,Lagos,Agent Network,Returning
ORD-10434,CUST-1434,Enugu,Web,Loyal
ORD-10435,CUST-1435,Kano,Mobile App,New Customer
ORD-10436,CUST-1436,Port Harcourt,Web,New Customer
ORD-10437,CUST-1437,Port Harcourt,Web,Returning
ORD-10438,CUST-1438,Lagos,WhatsApp Commerce,New Customer
ORD-10439,CUST-1439,Lagos,Mobile App,New Customer
ORD-10440,CUST-1440,Ibadan,Mobile App,Loyal
ORD-10441,CUST-1441,Ibadan,Mobile App,Returning
ORD-10442,CUST-1442,Enugu,Web,VIP
ORD-10443,CUST-1443,Kano,Mobile App,Loyal
ORD-10444,CUST-1444,Kano,Mobile App,Returning
ORD-10445,CUST-1445,Lagos,Mobile App,New Customer
ORD-10446,CUST-1446,Abuja,Web,Loyal
ORD-10447,CUST-1447,Abuja,Mobile App,New Customer
ORD-10448,CUST-1448,Port Harcourt,Mobile App,VIP
ORD-10449,CUST-1449,Lagos,WhatsApp Commerce,VIP
ORD-10450,CUST-1450,Lagos,Mobile App,New Customer
ORD-10451,CUST-1451,Lagos,Mobile App,New Customer
ORD-10452,CUST-1452,Lagos,WhatsApp Commerce,Returning
ORD-10453,CUST-1453,Lagos,Agent Network,Returning
ORD-10454,CUST-1454,Lagos,Mobile App,New Customer
ORD-10455,CUST-1455,Lagos,Web,Returning
ORD-10456,CUST-1456,Ibadan,WhatsApp Commerce,Loyal
ORD-10457,CUST-1457,Lagos,Mobile App,New Customer
ORD-10458,CUST-1458,Lagos,Mobile App,Returning
ORD-10459,CUST-1459,Kano,Mobile App,Returning
ORD-10460,CUST-1460,Abuja,WhatsApp Commerce,New Customer
ORD-10461,CUST-1461,Port Harcourt,Mobile App,Returning
ORD-10462,CUST-1462,Abuja,Web,Loyal
ORD-10463,CUST-1463,Lagos,WhatsApp Commerce,Returning
ORD-10464,CUST-1464,Port Harcourt,Mobile App,Returning
ORD-10465,CUST-1465,Lagos,WhatsApp Commerce,Returning
ORD-10466,CUST-1466,Abuja,Mobile App,New Customer
ORD-10467,CUST-1467,Enugu,Web,New Customer
ORD-10468,CUST-1468,Lagos,Mobile App,Returning
